00110,0010100110,n166,98.0,735.0,,
10000,0000001000,n8,119.0,3549.0,,
01111,0000011000,n24,139.0,4205.0,,
00110,0010101111,n175,173.0,1330.0,,
00111,0000110110,n54,285.0,330.0,centroid,
01111,0000011100,n28,290.0,3869.0,,
01111,0010111001,n185,336.0,3350.0,,
00110,0000011010,n26,337.0,961.0,centroid,
01111,0010010100,n148,410.66666666666663,4306.666666666667,centroid,
01111,0000100111,n39,483.0,4478.0,,
01100,0010010010,n146,560.0,2764.0,centroid,
01111,0010111010,n186,590.0,3480.0,centroid,
00110,0000110100,n52,643.0,1016.0,,
00110,0010100111,n167,644.0,1452.0,centroid,
00111,0000010011,n19,683.0,590.0,,
01111,0000000101,n5,756.0,3944.0,,
00111,0000000001,n1,772.0,808.0,,
01111,0000001110,n14,792.0,4155.0,,
00111,0000100101,n37,914.0,368.0,,
10000,0000100010,n34,940.0,3526.0,,
00111,0010101101,n173,948.0,1708.0,,
00111,0010101000,n168,958.0,1209.0,,
00111,0010101110,n174,987.0,922.0,,
00111,0000000010,n2,988.0,712.0,centroid,
01100,0000001010,n10,1004.0,2535.0,,
01111,0010010011,n147,1018.0,3892.0,,
01101,0010010001,n145,1148.0,3126.0,,
00111,0010110000,n176,1150.0,233.0,,
00111,0010101011,n171,1199.0,536.0,,
01110,0010010110,n150,1235.3333333333335,4527.333333333333,,
00110,0010010000,n144,1256.0,1878.0,,
01101,0000011011,n27,1412.0,2394.0,,
00101,0010101010,n170,1432.0,956.0,centroid,
01110,0010111011,n187,1574.6666666666667,4356.0,centroid,
01101,0010011101,n157,1588.0,3332.0,,
01101,0000101010,n42,1630.0,2593.0,,
00101,0000010000,n16,1633.0,1207.0,,
00101,0000100001,n33,1660.0,1591.0,centroid,
01101,0000110001,n49,1672.0,2345.0,,
01110,0010010101,n149,1736.0,4112.0,centroid,
01101,0000010110,n22,1753.0,3595.0,centroid,
00101,0000110111,n55,1874.0,850.0,,
01100,0000000100,n4,1908.0,2440.0,centroid,
00100,0000110000,n48,1925.0,583.0,,
01101,0010111100,n188,1932.0,3086.0,centroid,
00100,0010110110,n182,2022.0,216.0,centroid,
00101,0010001111,n143,2062.0,1592.0,,
01101,0000001111,n15,2125.0,3866.0,,
00100,0010110101,n181,2126.0,1094.0,centroid,
01101,0010111110,n190,2134.0,2288.0,,
01111,0000111000,n56,2135.0,4314.0,,
01110,0000011110,n30,2157.0,2843.0,,
01101,0000100110,n38,2189.0,2419.0,,
01010,0010111101,n189,2432.0,2964.0,,
00001,0000001011,n11,2454.0,1192.0,centroid,
01000,0000001101,n13,2508.0,4096.0,,
00000,0010100101,n165,2532.0,464.0,,
01000,0010010111,n151,2568.0,3616.0,,
00001,0010100011,n163,2680.0,1364.0,,
00001,0000001100,n12,2700.0,882.0,,
01010,0010100001,n161,2706.0,2502.0,,
01000,0000101101,n45,2907.0,3908.0,centroid,
01010,0000010111,n23,2918.0,2241.0,centroid,
01010,0010100000,n160,2975.3333333333335,2762.0,,
00000,0000011111,n31,3071.0,474.0,,
01010,0000110010,n50,3112.0,2981.0,centroid,
00010,0000101111,n47,3153.0,1100.0,,
01000,0000100000,n32,3175.0,3853.0,,
00001,0010110111,n183,3228.0,1380.0,centroid,
01010,0010100010,n162,3234.0,2164.0,,
01010,0010110001,n177,3244.0,3284.0,,
01000,0000010101,n21,3277.0,4500.0,,
01010,0000000110,n6,3292.0,2772.0,,
00000,0000010001,n17,3385.0,325.0,,
00000,0000101110,n46,3391.0,577.0,centroid,
01010,0000101100,n44,3400.0,3026.0,,
01000,0010011000,n152,3430.6666666666665,4188.666666666667,centroid,
01000,0010011100,n156,3479.3333333333335,3764.0,,
00011,0000011001,n25,3563.0,1391.0,centroid,
00010,0000000011,n3,3584.0,760.0,,
01001,0000100011,n35,3672.0,3634.0,centroid,
01011,0010110010,n178,3700.0,3132.0,,
00010,0010111000,n184,3706.0,996.0,centroid,
00010,0010100100,n164,3718.0,308.0,,
00010,0000101001,n41,3744.0,554.0,,
00011,0000110101,n53,3787.0,1782.0,,
01011,0000101011,n43,3941.0,2912.0,centroid,
01001,0000100100,n36,3946.0,4225.0,,
01011,0010011111,n159,3952.0,2706.0,,
01001,0000000111,n7,4024.0,4012.0,centroid,
00010,0000011101,n29,4047.0,418.0,centroid,
01001,0010011011,n155,4086.6666666666665,3557.3333333333335,,
00010,0000010100,n20,4110.0,642.0,,
00011,0000101000,n40,4126.0,902.0,,
01011,0010011110,n158,4148.0,3152.0,,
01001,0010011001,n153,4202.666666666666,4360.666666666667,,
00100,0000110011,n51,4211.0,1286.0,,
01001,0000001001,n9,4221.0,3941.0,,
00011,0000010010,n18,4411.0,1768.0,centroid,
01011,0000111001,n57,4440.0,2467.0,centroid,
