00101,10100110,10.0.168.2,n166,98.0,735.0,
01011,00001000,10.0.65.1,n8,119.0,3549.0,
01100,00011000,10.0.64.1,n24,139.0,4205.0,
00101,10101111,10.0.170.2,n175,173.0,1330.0,
00100,00110110,10.0.22.1,n54,285.0,330.0,centroid
01100,00011100,10.0.69.1,n28,290.0,3869.0,
01011,10111001,10.0.21.2,n185,336.0,3350.0,
00101,00011010,10.0.32.1,n26,337.0,961.0,centroid
01011,10010100,10.0.1.2,n148,410.66666666666663,4306.666666666667,centroid
01100,00100111,10.0.63.1,n39,483.0,4478.0,
01000,10010010,10.0.167.2,n146,560.0,2764.0,centroid
01011,10111010,10.0.14.2,n186,590.0,3480.0,centroid
00110,00110100,10.0.33.1,n52,643.0,1016.0,
00101,10100111,10.0.169.2,n167,644.0,1452.0,centroid
00100,00010011,10.0.23.1,n19,683.0,590.0,
01011,00000101,10.0.3.1,n5,756.0,3944.0,
00100,00000001,10.0.0.1,n1,772.0,808.0,
01100,00001110,10.0.62.1,n14,792.0,4155.0,
00100,00100101,10.0.34.1,n37,914.0,368.0,
01011,00100010,10.0.66.1,n34,940.0,3526.0,
00101,10101101,10.0.172.2,n173,948.0,1708.0,
00101,10101000,10.0.171.1,n168,958.0,1209.0,
00100,10101110,10.0.173.1,n174,987.0,922.0,
00100,00000010,10.0.0.2,n2,988.0,712.0,centroid
01001,00001010,10.0.54.1,n10,1004.0,2535.0,
01100,10010011,10.0.4.2,n147,1018.0,3892.0,
01001,10010001,10.0.166.2,n145,1148.0,3126.0,
00100,10110000,10.0.175.1,n176,1150.0,233.0,
00100,10101011,10.0.176.1,n171,1199.0,536.0,
01010,10010110,10.0.8.2,n150,1235.3333333333335,4527.333333333333,
00110,10010000,10.0.151.2,n144,1256.0,1878.0,centroid
01000,00011011,10.0.52.1,n27,1412.0,2394.0,
00111,10101010,10.0.174.1,n170,1432.0,956.0,
01010,10111011,10.0.10.2,n187,1574.6666666666667,4356.0,centroid
01001,10011101,10.0.12.2,n157,1588.0,3332.0,
01000,00101010,10.0.50.1,n42,1630.0,2593.0,
00110,00010000,10.0.26.1,n16,1633.0,1207.0,
00110,00100001,10.0.24.1,n33,1660.0,1591.0,centroid
01000,00110001,10.0.51.1,n49,1672.0,2345.0,
01010,10010101,10.0.5.2,n149,1736.0,4112.0,centroid
01001,00010110,10.0.67.1,n22,1753.0,3595.0,
00111,00110111,10.0.28.1,n55,1874.0,850.0,centroid
01000,00000100,10.0.2.2,n4,1908.0,2440.0,centroid
01000,00110000,10.0.27.1,n48,1925.0,583.0,
01001,10111100,10.0.152.2,n188,1932.0,3086.0,centroid
00111,10110110,10.0.177.1,n182,2022.0,216.0,centroid
00110,10001111,10.0.150.2,n143,2062.0,1592.0,
01001,00001111,10.0.68.1,n15,2125.0,3866.0,centroid
00111,10110101,10.0.178.1,n181,2126.0,1094.0,
01000,10111110,10.0.149.2,n190,2134.0,2288.0,
01010,00111000,10.0.70.1,n56,2135.0,4314.0,
01010,00011110,10.0.71.2,n30,2157.0,2843.0,
01000,00100110,10.0.25.1,n38,2189.0,2419.0,
01110,10111101,10.0.155.2,n189,2432.0,2964.0,
00010,00001011,10.0.35.1,n11,2454.0,1192.0,centroid
01100,00001101,10.0.61.1,n13,2508.0,4096.0,
00011,10100101,10.0.165.2,n165,2532.0,464.0,centroid
01100,10010111,10.0.183.1,n151,2568.0,3616.0,
00010,10100011,10.0.164.2,n163,2680.0,1364.0,
00011,00001100,10.0.29.1,n12,2700.0,882.0,
01110,10100001,10.0.154.2,n161,2706.0,2502.0,
01100,00101101,10.0.59.1,n45,2907.0,3908.0,centroid
01110,00010111,10.0.45.1,n23,2918.0,2241.0,centroid
01110,10100000,10.0.153.2,n160,2975.3333333333335,2762.0,
00011,00011111,10.0.30.1,n31,3071.0,474.0,
01110,00110010,10.0.48.1,n50,3112.0,2981.0,centroid
00010,00101111,10.0.53.1,n47,3153.0,1100.0,
01100,00100000,10.0.58.1,n32,3175.0,3853.0,
00010,10110111,10.0.162.2,n183,3228.0,1380.0,centroid
01110,10100010,10.0.160.2,n162,3234.0,2164.0,
01110,10110001,10.0.156.2,n177,3244.0,3284.0,
01100,00010101,10.0.60.1,n21,3277.0,4500.0,
01110,00000110,10.0.47.2,n6,3292.0,2772.0,
00011,00010001,10.0.36.1,n17,3385.0,325.0,
00011,00101110,10.0.31.1,n46,3391.0,577.0,centroid
01110,00101100,10.0.47.1,n44,3400.0,3026.0,
01100,10011000,10.0.182.1,n152,3430.6666666666665,4188.666666666667,centroid
01100,10011100,10.0.180.1,n156,3479.3333333333335,3764.0,
00001,00011001,10.0.49.1,n25,3563.0,1391.0,centroid
00000,00000011,10.0.37.2,n3,3584.0,760.0,
01101,00100011,10.0.55.1,n35,3672.0,3634.0,centroid
01111,10110010,10.0.157.2,n178,3700.0,3132.0,
00000,10111000,10.0.161.2,n184,3706.0,996.0,centroid
00000,10100100,10.0.163.2,n164,3718.0,308.0,
00000,00101001,10.0.37.1,n41,3744.0,554.0,
00001,00110101,10.0.43.1,n53,3787.0,1782.0,
01111,00101011,10.0.44.1,n43,3941.0,2912.0,centroid
01110,00100100,10.0.57.1,n36,3946.0,4225.0,
