id:0000000000011,1.1,id:0000000000011,1.1
id:0000000010100,4.23,id:0001100010100,3.2
id:0000000011101,0.025,id:0000000011101,0.025
id:0000000101001,2.19,id:0000000101001,2.19
id:0000010100100,3.24,id:0000010100100,3.24
id:0000010111000,0.024,id:0000010111000,0.024
id:0000100010010,0.025,id:0000100010010,0.025
id:0000100011001,0.025,id:0000100011001,0.025
id:0000100101000,15.3,id:0001100101000,3.23
id:0000100110101,9.29,id:0111000110101,5.26
id:0001000001011,0.025,id:0001000001011,0.025
id:0001000101111,5.22,id:0000000101111,3.21
id:0001000110011,6.29,id:0000000110011,4.23
id:0001010100011,7.30,id:0000010100011,5.24
id:0001010110111,0.025,id:0001010110111,0.025
id:0001100001100,4.29,id:0000000001100,4.17
id:0001100010001,3.28,id:0000000010001,3.23
id:0001100011111,3.22,id:0001100011111,3.22
id:0001100101110,0.025,id:0001100101110,0.025
id:0001110100101,0.025,id:0001110100101,0.025
id:0010000000001,1.15,id:0010000000001,1.15
id:0010000000010,0.024,id:0010000000010,0.024
id:0010000010011,2.19,id:0010000010011,2.19
id:0010000100101,3.28,id:0010000100101,3.28
id:0010000110110,0.025,id:0010000110110,0.025
id:0010010101011,1.07,id:0010010101011,1.07
id:0010010101110,2.2,id:0010010101110,2.2
id:0010010110000,2.13,id:0010010110000,2.13
id:0010100011010,0.025,id:0010100011010,0.025
id:0010110100110,6.28,id:0010010100110,4.26
id:0010110100111,0.025,id:0010110100111,0.025
id:0010110101000,5.22,id:0010010101000,3.19
id:0010110101101,7.29,id:0010010101101,5.26
id:0010110101111,6.27,id:0010010101111,4.07
id:0011000010000,15.4,id:0010000010000,3.13
id:0011000100001,0.024,id:0011000100001,0.024
id:0011000110100,13.3,id:0010000110100,2.26
id:0011010001111,8.28,id:0100010001111,4.13
id:0011010010000,0.025,id:0011010010000,0.025
id:0011100110111,0.025,id:0011100110111,0.025
id:0011110101010,6.28,id:0010010101010,2.13
id:0011110110101,8.27,id:0010010110101,4.1
id:0011110110110,0.025,id:0011110110110,0.025
id:0100000000100,0.024,id:0100000000100,0.024
id:0100000011011,2.13,id:0100000011011,2.13
id:0100000100110,1.13,id:0100000100110,1.13
id:0100000101010,1.13,id:0100000101010,1.13
id:0100000110000,11.8,id:0010000110000,3.15
id:0100000110001,1.11,id:0100000110001,1.11
id:0100010010010,0.024,id:0100010010010,0.024
id:0100010111110,1.1,id:0100010111110,1.1
id:0100100001010,18.3,id:0100000001010,4.14
id:0100100001111,0.025,id:0100100001111,0.025
id:0100100010110,10.2,id:0101100010110,6.22
id:0100110010001,19.4,id:0100010010001,5.13
id:0100110011101,10.2,id:0101110011101,6.23
id:0100110111100,0.025,id:0100110111100,0.025
id:0101000011110,14.4,id:0100000011110,2.13
id:0101000111000,10.2,id:0101100111000,8.27
id:0101010010101,0.024,id:0101010010101,0.024
id:0101010010110,8.25,id:0101110010110,6.24
id:0101010111011,0.025,id:0101010111011,0.025
id:0101100000101,2.05,id:0101100000101,2.05
id:0101100001000,5.22,id:0101100001000,5.22
id:0101100100010,4.15,id:0101100100010,4.15
id:0101110010100,0.025,id:0101110010100,0.025
id:0101110111001,5.25,id:0101110111001,5.25
id:0101110111010,0.026,id:0101110111010,0.026
id:0110000001101,19.4,id:0101100001101,9.23
id:0110000001110,13.4,id:0101100001110,3.21
id:0110000010101,5.28,id:0110100010101,3.14
id:0110000011000,15.4,id:0101100011000,5.27
id:0110000011100,14.3,id:0101100011100,4.26
id:0110000100000,5.28,id:0110100100000,3.14
id:0110000100111,15.4,id:0101100100111,5.25
id:0110000101101,0.025,id:0110000101101,0.025
id:0110010010011,13.4,id:0101110010011,3.25
id:0110010010111,8.25,id:0110110010111,6.13
id:0110010011000,0.025,id:0110010011000,0.025
id:0110010011100,4.28,id:0110110011100,2.14
id:0110100000111,0.025,id:0110100000111,0.025
id:0110100100011,0.025,id:0110100100011,0.025
id:0110110011011,2.1,id:0110110011011,2.1
id:0111000000110,1.07,id:0111000000110,1.07
id:0111000001001,8.33,id:0110100001001,1.08
id:0111000010111,0.025,id:0111000010111,0.025
id:0111000100100,8.31,id:0110100100100,1.11
id:0111000101100,2.23,id:0111000101100,2.23
id:0111000110010,0.024,id:0111000110010,0.024
id:0111010011001,9.40,id:0110110011001,2.12
id:0111010100000,2.16,id:0111010100000,2.16
id:0111010100001,3.21,id:0111010100001,3.21
id:0111010100010,3.24,id:0111010100010,3.24
id:0111010110001,3.24,id:0111010110001,3.24
id:0111010111101,4.24,id:0111010111101,4.24
id:0111100101011,0.025,id:0111100101011,0.025
id:0111100111001,0.024,id:0111100111001,0.024
id:0111110011110,7.24,id:0111010011110,4.25
id:0111110011111,6.25,id:0111010011111,3.24
id:0111110110010,6.26,id:0111010110010,3.19
